Education,JoiningYear,City,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot
Bachelors,2017,Bangalore,3,34,Male,0,0
Bachelors,2013,Pune,1,28,Female,3,1
Bachelors,2014,New Delhi,3,38,Female,2,0
Masters,2016,Bangalore,3,27,Male,5,1
Masters,2017,Pune,3,24,Male,2,1
Bachelors,2016,Bangalore,3,22,Male,0,0
Bachelors,2015,New Delhi,3,38,Male,0,0
Bachelors,2016,Bangalore,3,34,Female,2,1
Bachelors,2016,Pune,3,23,Male,1,0
Masters,2017,New Delhi,2,37,Male,2,0
Masters,2012,Bangalore,3,27,Male,5,1
Bachelors,2016,Pune,3,34,Male,3,0
Bachelors,2018,Pune,3,32,Male,5,1
Bachelors,2016,Bangalore,3,39,Male,2,0
Bachelors,2012,Bangalore,3,37,Male,4,0
Bachelors,2017,Bangalore,1,29,Male,3,0
Bachelors,2014,Bangalore,3,34,Female,2,0
Bachelors,2014,Pune,3,34,Male,4,0
Bachelors,2015,Pune,2,30,Female,0,1
Bachelors,2016,New Delhi,2,22,Female,0,1
Bachelors,2012,Bangalore,3,37,Male,0,0
Masters,2017,New Delhi,2,28,Male,4,0
Bachelors,2017,New Delhi,2,36,Male,3,0
Bachelors,2015,Bangalore,3,27,Male,5,0
Bachelors,2017,Bangalore,3,29,Male,4,0
Bachelors,2013,Bangalore,3,22,Female,0,0
Bachelors,2016,Bangalore,3,37,Male,2,0
Bachelors,2015,Bangalore,3,23,Male,1,0
Bachelors,2013,Pune,2,31,Female,2,1
Masters,2017,New Delhi,2,30,Female,2,0
PHD,2013,New Delhi,3,25,Male,3,0
Bachelors,2014,Bangalore,3,23,Male,1,0
Bachelors,2018,Bangalore,3,26,Male,4,1
Bachelors,2016,Bangalore,3,40,Male,5,0
Bachelors,2017,Pune,2,37,Female,0,1
Bachelors,2014,Bangalore,1,30,Female,3,0
Bachelors,2012,New Delhi,3,29,Male,3,0
Bachelors,2018,New Delhi,2,34,Female,0,1
Bachelors,2017,Pune,2,29,Female,2,1
Bachelors,2014,Pune,3,30,Male,4,0
Bachelors,2015,Bangalore,3,36,Male,1,0
Masters,2017,New Delhi,2,23,Male,1,0
Bachelors,2013,Bangalore,3,30,Male,3,1
Bachelors,2014,Bangalore,3,36,Male,0,0
Bachelors,2015,Pune,3,39,Male,4,0
Bachelors,2014,Bangalore,3,23,Female,1,0
PHD,2012,New Delhi,3,27,Male,5,0
Masters,2013,New Delhi,3,35,Male,2,0
Masters,2017,New Delhi,2,34,Male,0,0
Bachelors,2013,Bangalore,3,30,Female,1,0
PHD,2017,New Delhi,3,34,Male,2,0
Bachelors,2015,Pune,2,26,Female,4,1
Bachelors,2016,Bangalore,3,34,Female,0,0
Bachelors,2014,Bangalore,3,31,Female,5,0
Bachelors,2017,New Delhi,3,31,Female,5,0
PHD,2013,New Delhi,3,28,Male,2,0
Bachelors,2016,Bangalore,3,38,Male,2,0
Masters,2014,Pune,3,39,Female,2,0
Bachelors,2013,Pune,3,32,Male,4,0
Masters,2017,Pune,2,36,Male,2,1
Masters,2013,New Delhi,3,29,Male,3,0
Bachelors,2015,Bangalore,3,30,Male,5,0
PHD,2013,Bangalore,2,25,Male,3,1
Bachelors,2014,Pune,1,22,Female,0,1
Bachelors,2016,Bangalore,3,34,Male,4,0
Bachelors,2018,Bangalore,3,40,Male,1,1
PHD,2013,Bangalore,3,26,Male,4,0
Bachelors,2014,New Delhi,3,28,Male,0,0
Bachelors,2015,Bangalore,3,24,Female,2,0
Masters,2017,Bangalore,3,40,Female,2,1
Bachelors,2018,Bangalore,3,23,Female,1,1
Masters,2017,Bangalore,3,31,Male,4,0
Bachelors,2014,Pune,3,25,Female,3,0
Bachelors,2014,Bangalore,1,27,Male,5,0
Masters,2017,New Delhi,2,25,Female,3,1
Bachelors,2015,Bangalore,3,40,Male,0,1
Bachelors,2014,Bangalore,1,23,Female,1,0
Bachelors,2017,Bangalore,3,23,Female,1,0
Bachelors,2012,Bangalore,3,39,Male,1,0
PHD,2015,New Delhi,1,37,Male,1,0
Bachelors,2017,Pune,3,38,Male,2,0
Bachelors,2013,Bangalore,3,31,Female,0,1
Bachelors,2016,Bangalore,3,38,Male,5,0
Bachelors,2017,Bangalore,3,25,Female,3,0
Bachelors,2015,Bangalore,3,27,Female,5,1
Bachelors,2016,Pune,2,36,Male,0,1
Bachelors,2017,Pune,2,27,Female,5,1
Masters,2015,Pune,2,32,Female,4,0
Bachelors,2014,Bangalore,3,28,Male,4,0
Masters,2012,New Delhi,3,32,Male,2,0
Bachelors,2018,Bangalore,3,30,Male,0,1
Bachelors,2015,New Delhi,3,22,Male,0,0
Bachelors,2017,New Delhi,2,34,Female,5,0
Masters,2013,New Delhi,3,36,Male,2,0
Bachelors,2014,Bangalore,3,39,Male,3,1
PHD,2018,Bangalore,3,26,Male,4,1
Bachelors,2016,Bangalore,3,31,Female,0,0
Bachelors,2014,Bangalore,3,27,Male,5,1
Bachelors,2014,Bangalore,3,29,Female,0,0
Bachelors,2015,Bangalore,3,24,Female,2,1
Masters,2012,Pune,3,25,Male,3,1
Bachelors,2013,Pune,3,25,Male,3,0
Masters,2017,New Delhi,3,26,Female,4,1
Bachelors,2015,Pune,2,28,Female,1,1
Bachelors,2017,New Delhi,3,28,Male,2,0
Masters,2015,Pune,1,28,Female,3,1
Masters,2015,New Delhi,3,25,Male,3,0
Bachelors,2017,Bangalore,3,28,Male,1,0
Masters,2013,Pune,3,25,Male,3,0
Bachelors,2015,Bangalore,2,25,Female,3,1
Bachelors,2015,Bangalore,3,27,Female,5,0
Bachelors,2017,Pune,2,27,Female,5,1
Bachelors,2013,Bangalore,3,27,Male,5,1
Bachelors,2012,Bangalore,3,25,Male,3,0
Masters,2017,New Delhi,2,28,Male,2,0
Bachelors,2014,Pune,1,26,Female,4,1
Bachelors,2015,Bangalore,3,28,Male,2,0
Masters,2013,New Delhi,3,26,Male,4,0
Bachelors,2017,Bangalore,3,26,Female,4,0
Bachelors,2017,New Delhi,2,25,Male,3,0
Bachelors,2012,Bangalore,1,28,Female,3,0
PHD,2015,New Delhi,3,26,Male,4,0
Bachelors,2015,New Delhi,3,25,Female,3,0
Bachelors,2012,Bangalore,3,26,Male,4,1
Bachelors,2014,Bangalore,3,28,Female,3,0
Masters,2014,Pune,3,24,Male,2,0
Bachelors,2013,Bangalore,3,28,Male,1,0
Bachelors,2015,Pune,3,27,Male,5,0
Bachelors,2018,Bangalore,3,25,Male,3,1
Masters,2013,Pune,1,24,Male,2,1
Bachelors,2017,Bangalore,3,26,Female,4,0
Bachelors,2013,Bangalore,3,28,Male,1,1
Masters,2016,New Delhi,3,27,Male,5,0
Masters,2017,Bangalore,3,26,Male,4,0
Masters,2017,New Delhi,2,24,Male,2,0
Masters,2018,New Delhi,3,26,Male,4,1
Masters,2017,New Delhi,1,25,Female,3,1
Bachelors,2012,Pune,3,28,Male,2,0
Bachelors,2017,New Delhi,3,28,Male,2,0
Bachelors,2013,Bangalore,3,26,Male,4,0
Masters,2013,New Delhi,3,27,Male,5,1
Bachelors,2017,Pune,2,24,Female,2,1
Bachelors,2017,New Delhi,3,28,Female,2,0
Bachelors,2016,Bangalore,3,26,Male,4,0
Bachelors,2013,Bangalore,3,27,Female,5,0
Masters,2015,Pune,2,28,Female,3,0
Bachelors,2014,Bangalore,3,25,Male,3,0
Bachelors,2016,Pune,3,28,Male,1,0
Masters,2013,Bangalore,1,25,Male,3,1
