study_hours,attendance,assignments,sleep_hours,result
2,41,5,5,0
4,48,2,8,0
2,77,7,4,1
1,45,4,5,0
9,78,1,8,1
4,85,9,7,1
4,68,10,6,1
1,88,3,7,0
6,57,3,5,1
6,46,2,7,1
2,62,6,8,1
5,91,1,7,1
9,47,7,4,1
9,58,10,6,1
10,52,2,4,1
4,89,5,4,1
4,95,2,7,1
5,69,6,5,1
6,62,4,6,1
2,78,3,8,0
4,50,8,7,1
5,99,9,5,1
6,93,1,5,1
1,91,6,7,1
5,44,4,8,1
6,53,8,7,1
8,49,5,5,1
4,87,9,8,1
5,87,10,7,1
10,65,6,5,1
3,72,8,4,1
1,95,2,5,0
3,90,7,8,1
2,64,7,8,1
8,73,5,8,1
1,83,2,8,0
5,89,6,4,1
5,67,3,7,1
1,86,5,8,1
3,72,2,6,0
9,78,4,5,1
6,88,3,8,1
9,98,1,8,1
6,71,1,4,1
6,96,5,5,1
1,55,10,4,1
2,86,8,4,1
9,89,3,5,1
8,100,9,5,1
5,73,10,7,1
4,99,9,5,1
5,65,6,7,1
9,68,2,5,1
4,44,6,4,1
10,75,4,8,1
4,40,2,4,0
4,44,1,6,0
2,72,4,6,0
8,53,9,5,1
10,76,8,5,1
8,91,7,5,1
2,46,7,6,1
7,66,8,4,1
2,43,7,6,1
2,55,4,5,0
9,68,3,7,1
3,57,8,5,1
2,68,9,4,1
1,81,9,4,1
2,99,4,5,1
7,71,8,5,1
7,97,1,5,1
7,40,7,6,1
8,58,7,8,1
8,49,4,6,1
4,43,10,8,1
1,87,6,4,1
1,77,8,8,1
9,50,1,8,1
2,94,3,4,0
10,44,4,7,1
2,100,10,5,1
10,78,1,8,1
2,66,10,8,1
9,60,5,5,1
6,55,5,7,1
3,82,5,7,1
6,99,2,4,1
8,79,10,4,1
2,74,4,8,0
5,48,6,4,1
4,63,5,5,1
8,93,9,6,1
10,91,9,4,1
9,59,2,5,1
5,47,2,8,0
3,57,5,8,1
4,85,6,5,1
5,72,8,6,1
1,45,7,6,1
1,40,6,5,0
5,50,8,8,1
7,75,1,4,1
2,100,3,8,0
1,93,6,8,1
9,49,7,5,1
1,59,6,4,0
6,53,4,4,1
6,89,9,7,1
10,87,3,5,1
3,91,3,7,1
1,51,6,7,0
4,57,3,4,0
7,95,1,7,1
4,52,8,6,1
5,92,4,5,1
1,82,4,7,0
6,57,2,6,1
6,81,9,7,1
9,61,1,4,1
5,51,10,6,1
1,46,10,7,1
6,86,6,7,1
10,72,2,7,1
10,52,5,4,1
7,40,9,8,1
4,63,7,4,1
6,79,6,4,1
5,72,5,7,1
6,65,5,8,1
3,52,7,7,1
3,79,10,6,1
7,75,1,6,1
5,53,7,8,1
10,81,6,7,1
8,68,4,8,1
8,90,3,4,1
5,72,10,6,1
2,92,4,6,1
4,91,4,5,1
1,42,4,7,0
10,94,2,7,1
7,96,10,5,1
7,71,7,5,1
3,81,1,4,0
7,54,3,8,1
8,43,9,5,1
2,69,3,7,0
9,75,10,6,1
8,79,9,7,1
